s,x,y,kappa,altitude(m)
1183.837662,272.3743548,228.5093915,0.00487128,12.884
1184.837525,273.2045213,227.9521848,0.004740424,12.908
1185.837388,274.0365552,227.3977359,0.004595053,12.934
1186.837251,274.8700025,226.8453759,0.004436107,12.962
1187.837114,275.704164,226.2940777,0.00426461,12.99
1188.836977,276.5383403,225.742814,0.004081948,13
1189.83684,277.3718517,225.1905863,0.003890319,13
1190.836703,278.2046599,224.6373313,0.003693051,13
1191.836565,279.037497,224.0841103,0.003494608,13
1192.836428,279.8711409,223.5320509,0.003300277,13
1193.836291,280.7063693,222.982281,0.003115552,13
1194.836154,281.5439887,222.4360136,0.002945288,13
1195.836017,282.384953,221.8949062,0.002792972,13
1196.83588,283.2302644,221.3607603,0.002660259,13
1197.835743,284.0809249,220.8353774,0.002546751,13
1198.835606,284.9378689,220.3204432,0.002449961,13
1199.835469,285.8005987,219.8151861,0.002365746,13
1200.835331,286.6672502,219.3164904,0.002288926,13
1201.835194,287.5359049,218.8211471,0.002213927,13
1202.835057,288.4046442,218.3259469,0.002135588,13
1203.83492,289.2719926,217.8284219,0.002049869,13
1204.834783,290.1380808,217.3287906,0.001954269,13
1205.834646,291.0034033,216.8278802,0.001848075,13
1206.834509,291.8684544,216.3265178,0.00173234,13
1207.834372,292.73372,215.825516,0.001609429,13
1208.834235,293.5994006,215.3252089,0.001482358,13
1209.834097,294.4653518,214.825353,0.001354291,13
1210.83396,295.3314089,214.3256703,0.001228246,13
1211.833823,296.1974069,213.8258827,0.001107049,13
1212.833686,297.0632161,213.3257722,0.000993561,13
1213.833549,297.9289462,212.8255303,0.000890789,13
1214.833412,298.7948072,212.3255204,0.000801791,13
1215.833275,299.6610093,211.826106,0.000729459,13
1216.833138,300.527762,211.3276494,0.000676249,13
1217.833001,301.3951482,210.8302937,0.000643881,13
1218.832863,302.2629929,210.3337343,0.000633135,13
1219.832726,303.1310893,209.837612,0.000643759,13
1220.832589,303.9992309,209.3415677,0.000674389,12.998
1221.832452,304.8672242,208.8452653,0.000722543,12.984
1222.832315,305.7350472,208.3486669,0.000784772,12.971
1223.832178,306.6027974,207.8519424,0.000856892,12.958
1224.832041,307.4705746,207.3552657,0.000934349,12.947
1225.831904,308.3384785,206.8588111,0.001012737,12.936
1226.831767,309.2065555,206.3626591,0.001088304,12.927
1227.83163,310.0746584,205.8665519,0.001158309,12.918
1228.831492,310.9425962,205.3701551,0.001221168,12.911
1229.831355,311.8101776,204.8731343,0.001276343,12.904
1230.831218,312.6772232,204.3751749,0.001323926,12.899
1231.831081,313.5439318,203.8766258,0.001364194,12.894
1232.830944,314.41096,203.3786362,0.00139732,12.891
1233.830807,315.2789912,202.8824032,0.001423166,12.888
1234.83067,316.1487089,202.3891239,0.001441284,12.887
1235.830533,317.020729,201.899887,0.001451186,12.886
1236.830396,317.895275,201.4151552,0.0014526,12.886
1237.830258,318.7724303,200.9351671,0.001445742,12.888
1238.830121,319.6522778,200.4601607,0.001431652,12.89
1239.829984,320.5348918,199.9903569,0.001412235,12.892
1240.829847,321.4199912,199.5252686,0.00139006,12.896
1241.82971,322.306823,199.0634692,0.001367994,12.901
1242.829573,323.1946018,198.6034674,0.00134866,12.906
1243.829436,324.0825421,198.1437719,0.001333883,12.913
1244.829299,324.9699596,197.6830836,0.001324402,12.92
1245.829162,325.85681,197.2213186,0.00131988,12.928
1246.829024,326.7432983,196.7588671,0.001319138,12.938
1247.828887,327.6296301,196.2961199,0.001320637,12.948
1248.82875,328.5160104,195.8334671,0.001322988,12.959
1249.828613,329.4025612,195.3711396,0.001325202,12.971
1250.828476,330.2892407,194.9090557,0.001326751,12.985
1251.828339,331.175988,194.4470968,0.001327453,12.999
1252.828202,332.0627422,193.9851444,0.001327213,13.014
1253.828065,332.9494467,193.5230886,0.001325955,13.029
1254.827928,333.8361004,193.0609329,0.001323739,13.043
1255.82779,334.7227406,192.5987587,0.001320937,13.058
1256.827653,335.6094054,192.1366495,0.001318471,13.073
1257.827516,336.4961329,191.6746885,0.001317969,13.088
1258.827379,337.3829372,191.212904,0.001321726,13.103
1259.827242,338.2697468,190.7511268,0.001332555,13.118
1260.827105,339.1564707,190.2891428,0.001353609,13.133
1261.826968,340.0430176,189.8267382,0.001388075,13.148
1262.826831,340.9293165,189.36374,0.001438717,13.163
1263.826694,341.8158816,188.9011903,0.001507513,13.178
1264.826556,342.7038957,188.4415173,0.001595319,13.193
1265.826419,343.5945778,187.9872248,0.001701567,13.208
1266.826282,344.489147,187.5408165,0.00182429,13.222
1267.826145,345.3884264,187.1039871,0.001960343,13.236
1268.826008,346.2914583,186.6747918,0.002105745,13.25
1269.825871,347.196785,186.2502634,0.00225618,13.264
1270.825734,348.1029484,185.8274348,0.002407548,13.277
1271.825597,349.0085201,185.4033988,0.002556338,13.291
1272.82546,349.9129297,184.9769972,0.002699715,13.305
1273.825322,350.8165787,184.5490529,0.002835505,13.319
1274.825185,351.719921,184.1204954,0.002962037,13.333
1275.825048,352.6234105,183.6922543,0.003077921,13.346
1276.824911,353.5274126,183.2650758,0.003181967,13.36
1277.824774,354.4317293,182.83854,0.00327314,13.374
1278.824637,355.3359416,182.4117697,0.003350429,13.388
