s,x,y,kappa,altitude (m)
2585.640052,561.7272046,-143.4736197,0.011667763,11.017
2586.639913,560.9302171,-144.0775762,0.01163905,11.011
2587.639774,560.1303504,-144.6787891,0.011582873,11.006
2588.639635,559.3266579,-145.2760026,0.011488613,11.002
2589.639496,558.525323,-145.8761476,0.011354053,11.004
2590.639357,557.7337448,-146.4875511,0.011184912,11.024
2591.639217,556.9593226,-147.11854,0.010991483,11.045
2592.639078,556.209227,-147.777184,0.010784,11.066
2593.638939,555.4835049,-148.4635274,0.010569501,11.088
2594.6388,554.7738572,-149.1682134,0.01035066,11.111
2595.638661,554.0715103,-149.8813503,0.010126469,11.134
2596.638521,553.3676903,-150.5930461,0.009894959,11.157
2597.638382,552.65451,-151.2944056,0.009656008,11.18
2598.638243,551.9323132,-151.9857838,0.009412866,11.202
2599.638104,551.2059104,-152.6725559,0.009172291,11.224
2600.637965,550.4801563,-153.3601467,0.008943233,11.246
2601.637825,549.7599058,-154.0539812,0.008734392,11.269
2602.637686,549.0497795,-154.7589762,0.008552296,11.292
2603.637547,548.3533121,-155.4776916,0.008400219,11.315
2604.637408,547.6737237,-156.2120047,0.008277891,11.339
2605.637269,547.0142343,-156.9637927,0.008182063,11.363
2606.637129,546.3780232,-157.7349017,0.008107766,11.388
2607.63699,545.7638858,-158.5238612,0.008049398,11.413
2608.636851,545.1623866,-159.3229738,0.00800168,11.439
2609.636712,544.5631828,-160.1238553,0.007960563,11.465
2610.636573,543.9559317,-160.9181218,0.007924037,11.491
2611.636434,543.3305315,-161.6975854,0.007892316,11.516
2612.636294,542.6849611,-162.4606428,0.007867567,11.541
2613.636155,542.0270075,-163.2136817,0.007853078,11.565
2614.636016,541.3650482,-163.9635713,0.007851576,11.589
2615.635877,540.7074605,-164.7171807,0.0078632,11.614
2616.635738,540.0624754,-165.4812557,0.007884412,11.638
2617.635598,539.4337155,-166.2586653,0.007907948,11.664
2618.635459,538.8193811,-167.0477173,0.00792383,11.689
2619.63532,538.2173617,-167.8464577,0.007921781,11.715
2620.635181,537.6255469,-168.6529329,0.007893946,11.741
2621.635042,537.0420158,-169.4653441,0.007836488,11.767
2622.634902,536.4666412,-170.2833606,0.007750163,11.794
2623.634763,535.9002846,-171.1074608,0.007639741,11.82
2624.634624,535.3438179,-171.9381314,0.007512153,11.847
2625.634485,534.7981125,-172.775859,0.007374351,11.874
2626.634346,534.2636373,-173.6208546,0.007231794,11.902
2627.634206,533.7396637,-174.4725097,0.007087397,11.929
2628.634067,533.2252418,-175.3300641,0.006940914,11.957
2629.633928,532.7194214,-176.1927577,0.006788946,11.985
2630.633789,532.2212594,-177.0598391,0.00662547,12.026
2631.63365,531.7299524,-177.930737,0.006442726,12.082
2632.633511,531.2448308,-178.8050521,0.006232517,12.139
2633.633371,530.7652302,-179.6823919,0.005988126,12.195
2634.633232,530.2904863,-180.5623639,0.005706346,12.252
