s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
1804.752517,876.4326584,158.1494633,-0.008895642,9.507,9.472478366662672,0.01476521634140041,0.845984579959838
1805.75238,877.420309,157.995432,-0.008952976,9.53,9.487237775614046,0.014732751138554812,0.8441244608557491
1806.752243,878.4075445,157.839966,-0.009015316,9.552,9.501941963926933,0.014656460089861066,0.8397533057509704
1807.752106,879.3952184,157.686878,-0.009082563,9.573,9.516548778737093,0.0145398954911647,0.8330746462050325
1808.751969,880.3842387,157.5401899,-0.009154105,9.594,9.531019820109355,0.01438696726946035,0.8243125045329323
1809.751832,881.3755134,157.4039234,-0.009228935,9.614,9.545320756395316,0.014201891755592107,0.813708458697067
1810.751695,882.3696767,157.2808708,-0.009306562,9.634,9.55942162181631,0.013989150204922302,0.8015192657166186
1811.751558,883.3645327,157.1611226,-0.009389424,9.653,9.573297048754334,0.013753449752838832,0.7880146245829103
1812.75142,884.3562152,157.0272709,-0.009484408,9.672,9.586926473393733,0.013499622374712535,0.7734713870914022
1813.751283,885.340836,156.8618106,-0.009602429,9.689,9.600294221114002,0.013232600486816714,0.7581721598773563
1814.751146,886.3146754,156.6479674,-0.009755805,9.704,9.613389593232093,0.01295737820121527,0.7424030844844494
1815.751009,887.2780128,156.3863605,-0.009954216,9.716,9.626206877401184,0.0126789034572625,0.7264476569549694
1816.750872,888.2352033,156.0953327,-0.010201482,9.727,9.638745284822924,0.012402042528860983,0.7105846942454888
1817.750735,889.190785,155.7940241,-0.010493161,9.735,9.651008835914153,0.012131524088151307,0.6950851293123643
1818.750598,890.1492343,155.5013511,-0.01081681,9.743,9.663006199164244,0.011871886563582035,0.6802089949513208
1819.750461,891.1114398,155.2232887,-0.011154616,9.743,9.6747504715503,0.011627411917419483,0.6662016295282525
1820.750324,892.0728039,154.9460221,-0.011487312,9.744,9.686258884993187,0.011402100478797503,0.6532922350191921
1821.750186,893.0282654,154.6540647,-0.011798821,9.745,9.697552525087824,0.011199610039003771,0.6416903874272634
1822.750049,893.9727653,154.3319361,-0.012078608,9.745,9.708655961617481,0.011023179453609621,0.6315816595071562
1823.749912,894.9032565,153.9702166,-0.012321543,9.746,9.719596756519525,0.010875652766219091,0.6231290029541329
1824.749775,895.8224992,153.576978,-0.012525614,9.746,9.730405144724333,0.010759594088923501,0.6164793305692248
1825.749638,896.7342948,153.1634288,-0.012689304,9.746,9.741113826910606,0.010677163864654018,0.6117564266142665
1826.749501,897.6424447,152.7407776,-0.012810688,9.747,9.751757358314038,0.010629969485106411,0.6090523878494501
1827.749364,898.5501177,152.3184363,-0.01288786,9.749,9.762371653960134,0.01061916372597956,0.6084332634570466
1828.749227,899.4573913,151.897036,-0.012920878,9.751,9.772993574366701,0.010645469252253315,0.6099404590904033
1829.74909,900.3634,151.4745295,-0.01291358,9.755,9.783660479804745,0.01070917645216507,0.6135906127699431
1830.748952,901.2672781,151.048869,-0.012874088,9.759,9.79440980097084,0.010810133029039302,0.6193749985389245
1831.748815,902.1682177,150.6181125,-0.012814203,9.764,9.805278615173854,0.010947799164144614,0.6272626870623368
1832.748678,903.0673791,150.1839218,-0.012747933,9.77,9.816303274284834,0.011121257643904548,0.6372011258733364
1833.748541,903.9683292,149.7523648,-0.012689366,9.777,9.82751900015915,0.011329214187647905,0.6491161581519584
1834.748404,904.8747816,149.329778,-0.012650308,9.785,9.838959567783757,0.01157004630304495,0.6629148219354167
1835.748267,905.7904498,148.9224978,-0.01263854,9.794,9.85065695504337,0.011841827512034185,0.6784867381614629
1836.74813,906.7170966,148.5336251,-0.012656227,9.805,9.862641085101643,0.012142357858458635,0.6957058586271884
1837.747993,907.64347,148.1446747,-0.012699394,9.816,9.874939537148471,0.012469197892489408,0.7144324131530639
1838.747856,908.552992,147.7283276,-0.012759201,9.828,9.88757735671108,0.012819711090158241,0.7345153400431228
1839.747718,909.4290685,147.2572381,-0.012823578,9.839,9.900576838377653,0.01319094596395781,0.7557855315199099
1840.747581,910.2588258,146.7101998,-0.012879452,9.85,9.913957151183967,0.013579911843860705,0.7780716348129382
1841.747444,911.050723,146.1012068,-0.012915026,9.86,9.927734610614575,0.01398364118164153,0.801203621933391
1842.747307,911.8208082,145.456776,-0.01292107,9.871,9.941922424850567,0.014398991539360086,0.8250014444499133
1843.74717,912.5851389,144.8034397,-0.012891895,9.883,9.956530638499798,0.01482277813052561,0.8492826275379339
1844.747033,913.3567476,144.1627337,-0.012825616,9.896,9.971566090752441,0.015251802741014573,0.8738639270261955
1845.746896,914.1359066,143.5351169,-0.012723795,9.911,9.987032430107924,0.015682892004638432,0.8985635224252453
1846.746759,914.9195235,142.9154905,-0.012590952,9.927,10.002930149053945,0.016112920959976806,0.9232023666345538
1847.746622,915.7045058,142.298756,-0.012433599,9.944,10.019256645886266,0.0165388358237868,0.9476054907627558
1848.746485,916.4878249,141.6799077,-0.012259357,9.962,10.036006304923207,0.016957689801070732,0.9716040558933935
1849.746347,917.2684834,141.0569046,-0.012076041,9.981,10.053170612989495,0.0173666355466489,0.9950349211648534
1850.74621,918.0478896,140.4312165,-0.011890626,10.002,10.070738291984723,0.017762946298053316,1.0177418545959847
1851.746073,918.8275909,139.8045166,-0.011708311,10.023,10.088695374901313,0.018144059025476958,1.039578005396079
1852.745936,919.6091348,139.178478,-0.011531494,10.046,10.107025420641678,0.018507665605396285,1.0604111278286428
1853.745799,920.3923699,138.5530897,-0.011359487,10.069,10.125709861344403,0.018851652274175904,1.0801201121584796
1854.745662,921.1688955,137.9201635,-0.011188765,10.094,10.14472802625403,0.019174027300972542,1.0985908406143436
1855.745525,921.9278106,137.2690325,-0.01101435,10.12,10.16405736177888,0.019472993381753772,1.1157203352606755
1856.745388,922.6582137,136.5890294,-0.010832042,10.146,10.183673600229524,0.019746962179602562,1.1314175910956838
1857.745251,923.3517191,135.8719721,-0.010640026,10.172,10.203551009021284,0.019994550435701596,1.1456033532271628
1858.745113,924.0152436,135.1247934,-0.010440892,10.198,10.223662531693883,0.020214539900349607,1.1582078210888362
1859.744976,924.6614577,134.3601095,-0.010242347,10.225,10.243980036779373,0.020405930354310445,1.1691736863398852
1860.744839,925.3030424,133.5905472,-0.01005588,10.253,10.264474466058457,0.020567917201325572,1.1784548490104831
1861.744702,925.9518393,132.8279097,-0.009894297,10.283,10.285116036450024,0.02069984433269434,1.1860137168411815
1862.744565,926.6100829,132.0745787,-0.009767175,10.309,10.305874396198503,0.02080121548857086,1.1918218562372689
1863.744428,927.2738815,131.3269279,-0.009677102,10.333,10.326718768437097,0.020871676223138444,1.195858958949383
1864.744291,927.9392446,130.5812342,-0.0096181,10.357,10.347618091539966,0.02091100793982369,1.198112500316452
1865.744154,928.6021819,129.8337745,-0.0095764,10.38,10.368541150772849,0.020919092319680442,1.1985757011622244
1866.744017,929.2603279,129.0822095,-0.009533742,10.404,10.389456647494256,0.02089590673597076,1.1972472650701123
1867.743879,929.91665,128.3287414,-0.009471599,10.427,10.410333300740563,0.02084147402862466,1.1941285006717102
1868.743742,930.5752083,127.5765029,-0.009375629,10.451,10.431139899597866,0.020755882595643652,1.1892244727994215
1869.743605,931.2400628,126.8286267,-0.009238369,10.475,10.451845340212287,0.02063928146141148,1.1825437199214797
1870.743468,931.9148697,126.0879454,-0.009059631,10.499,10.472418668833228,0.020491808831054417,1.174094160608327
1871.743331,932.5937578,125.3502123,-0.008844643,10.523,10.492829079831184,0.020313616426586592,1.1638844878910326
1872.743194,933.2611964,124.6040026,-0.008600479,10.547,10.513045924093566,0.02010486087827689,1.1519236760229474
1873.743057,933.9012243,123.8375721,-0.008333829,10.57,10.533038710652237,0.019865688887834018,1.1382201303928274
