s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
1660.828409,272.894601,132.0964467,-0.000901712,3.096,3.0126488097430975,-0.03369578639034562,-1.930626347541163
1661.828305,272.696778,133.0765787,-0.000911785,2.919,2.9787892443751183,-0.03398795896650657,-1.9473666030446497
1662.828202,272.4989966,134.0567186,-0.00090575,2.741,2.9446537430899533,-0.03424699110524998,-1.9622080513528943
1663.828099,272.3012893,135.0368739,-0.000873175,2.562,2.910275529367134,-0.03447307910339028,-1.9751619394448952
1664.827995,272.103576,136.0170285,-0.000801001,2.38,2.875687398934778,-0.03466658391967963,-1.9862489487337294
1665.827892,271.9057569,136.9971622,-0.000676563,2.197,2.840921752807985,-0.03482785806780052,-1.9954892767656238
1666.827789,271.7078322,137.9772748,-0.000488671,2.013,2.806010682912222,-0.03495728524985575,-2.00290490805166
1667.827685,271.5100709,138.9574198,-0.000227305,1.827,2.7709859286779928,-0.035055184873022525,-2.0085141432750375
1668.827582,271.3127853,139.9376592,0.000115416,1.639,2.7358788396901166,-0.035121963676912685,-2.0123402868988753
1669.827479,271.1159179,140.9179818,0.000542597,1.498,2.70072034197962,-0.03515810212020105,-2.0144108671774714
1670.827376,270.9184677,141.8981887,0.001050341,1.403,2.665540894236273,-0.0351640822726327,-2.01475350467265
1671.827272,270.7192893,142.8780526,0.001629287,1.308,2.6303704578341867,-0.03514038264684172,-2.013395616138787
1672.827169,270.5184425,143.8575845,0.002268603,1.214,2.5952384630490983,-0.03508755278898794,-2.0103686882514897
1673.827066,270.3189117,144.8373735,0.002958327,1.121,2.560173770696118,-0.03500622473921783,-2.0057089342436325
1674.826962,270.1241075,145.8180929,0.003689213,1.029,2.5252046502086767,-0.034896956610858704,-1.9994483316533609
1675.826859,269.9359985,146.8001264,0.004452083,0.939,2.4903587386509387,-0.034760388110355596,-1.9916235329601024
1676.826756,269.7535126,147.7832468,0.005237909,0.851,2.455663023679793,-0.034597239917519444,-1.9822758300754044
1677.826652,269.5751853,148.7671479,0.006038073,0.764,2.4211438021959566,-0.03440815738027277,-1.9714421987115451
1678.826549,269.3989854,149.7514268,0.006844405,0.678,2.386826663652628,-0.03419386342172323,-1.959164059311505
1679.826446,269.2219025,150.7355131,0.007648962,0.592,2.3527364561241617,-0.033955158738874655,-1.9454872884342727
1680.826342,269.0409033,151.7188339,0.008443674,0.507,2.3188972664228586,-0.03369276300870043,-1.930453120533036
1681.826239,268.8573103,152.7016618,0.009220103,0.422,2.285332396830973,-0.03340747263622112,-1.9141071862542562
1682.826136,268.6791417,153.6855682,0.009969373,0.339,2.2520643380708645,-0.03310024711398657,-1.896504460471514
1683.826033,268.5145941,154.6721554,0.010682276,0.258,2.219114536142789,-0.03277195674345969,-1.8776948077855375
1684.825929,268.3582142,155.6602309,0.011349404,0.179,2.186503735977653,-0.03242330695627347,-1.857718646451633
