s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
24.99764372,-24.9405917,-1.698774597,-0.00022189,0.915,3.759252072404234,-0.00042865340447024205,-0.024560030950059084
25.99754947,-25.93868952,-1.75887674,-0.000240452,1.001,3.758812391849542,-0.00045110046640960214,-0.025846152861653163
26.99745522,-26.93680066,-1.818757399,-0.000259091,1.088,3.758349956442662,-0.0004741779967705861,-0.027168397952922564
27.99736097,-27.93492681,-1.878387553,-0.000277864,1.175,3.7578641251674822,-0.0004979058579369342,-0.02852790425462667
28.99726672,-28.93306959,-1.937738599,-0.0002968,1.262,3.7573542384997594,-0.0005223046916070431,-0.029925854448965603
29.99717247,-29.93123061,-1.996782118,-0.000315893,1.348,3.756819614143721,-0.0005473923742146222,-0.03136327278014365
30.99707822,-30.92941109,-2.055495952,-0.000335093,1.436,3.7562595568254564,-0.0005731857205910434,-0.03284112266703163
31.99698396,-31.92761171,-2.113866359,-0.000354125,1.523,3.755673350628247,-0.0005997045420269155,-0.03436053921296816
32.99688971,-32.92583314,-2.171879986,-0.000372822,1.61,3.755060260647932,-0.0006269664430820231,-0.03592253108492907
33.99679546,-33.92407643,-2.229516526,-0.000391008,1.697,3.7544195357609715,-0.000654989710370311,-0.03752814602871499
34.99670121,-34.92234305,-2.286747223,-0.000408507,1.785,3.7537504045054373,-0.0006837897742141443,-0.03917826813667395
35.99660696,-35.92063453,-2.343542941,-0.000425148,1.873,3.75305208489379,-0.0007133804337224015,-0.04087368803950576
36.99651271,-36.91895212,-2.399878019,-0.000440772,1.96,3.7523237778681953,-0.0007437779239120956,-0.04261533593516555
37.99641846,-37.91729682,-2.45573062,-0.000455234,2.048,3.7515646689738222,-0.0007749967804131501,-0.04440404465390053
38.99632421,-38.91566963,-2.511078986,-0.000468411,2.136,3.750773930083972,-0.0008070255043640198,-0.04623915535947493
39.99622996,-39.91407161,-2.565898781,-0.0004802,2.224,3.7499507697390295,-0.0008398477796576451,-0.04811973320781618
40.9961357,-40.91250392,-2.62016311,-0.00049052,2.312,3.7490943924494777,-0.0008734593918014626,-0.05004553672628759
41.99604145,-41.91096769,-2.673845493,-0.000499312,2.4,3.7482040151670386,-0.0009078913367276531,-0.052018341850985195
