latitude,longitude,x_local,y_local
-6.116554955,106.8601676,151.88060316897463,212.78080833447166
-6.116522624,106.860232,159.02225748973433,216.3319452010328
-6.116487381,106.8602921,165.6890040342696,220.20679605728947
-6.116445634,106.8603476,171.84900670626666,224.80275121261366
-6.116355915,106.8604563,183.9167807243066,234.68402673513629
-6.116133692,106.8606719,207.8694544690661,259.17928562522866
-6.116093034,106.8607149,212.64525759010576,263.65958487044554
-6.116059548,106.8607604,217.69507390330546,267.3457025932148
-6.116036814,106.8607991,221.98799259855878,269.84525426034816
-6.116018711,106.8608495,227.5743668214418,271.828133550589
-6.116013234,106.8608974,232.87914951727726,272.4155344099272
-6.116019136,106.860947,238.36777140840422,271.7437655221438
-6.116028619,106.8609873,242.82548195740674,270.67950138507877
-6.116044399,106.8610337,247.956071307417,268.9164506343659
