x_meter_interp,y_meter_interp,cumulative_distance,x_wall_left,y_wall_left,x_wall_right,y_wall_right
-76.83865122200652,-4.639487225261587,76.97858899285262,-76.53730202309535,-9.630397829581764,-77.14000042091769,0.35142337905859033
-77.83655578333129,-4.699740306109141,77.97831092782474,-77.53520658442012,-9.69065091042932,-78.13790498224246,0.29117029821103646
-78.83446034465605,-4.759993386956694,78.97803286279685,-78.53311114574488,-9.750903991276871,-79.13580954356722,0.23091721736348347
-79.83236490598081,-4.820246467804247,79.97775479776897,-79.53101570706964,-9.811157072124423,-80.13371410489198,0.1706641365159305
-80.83026946730558,-4.880499548651801,80.97747673274108,-80.52892026839442,-9.871410152971979,-81.13161866621675,0.11041105566837661
-81.82817402863033,-4.940752629499353,81.97719866771318,-81.52682482971916,-9.931663233819531,-82.1295232275415,0.050157974820824514
-82.82607858995509,-5.001005710346906,82.9769206026853,-82.52472939104392,-9.991916314667083,-83.12742778886626,-0.010095106026728473
-83.82398315127985,-5.06125879119446,83.97664253765741,-83.52263395236868,-10.052169395514637,-84.12533235019102,-0.07034818687428235
-84.82188771260462,-5.121511872042013,84.97636447262953,-84.52053851369345,-10.112422476362191,-85.12323691151579,-0.13060126772183533
-85.81979227392938,-5.181764952889566,85.97608640760164,-85.51844307501821,-10.172675557209743,-86.12114147284055,-0.19085434856938832
-86.81769683525413,-5.242018033737119,86.97580834257374,-86.51634763634296,-10.232928638057295,-87.1190460341653,-0.2511074294169413
-87.81560139657888,-5.302271114584672,87.97553027754586,-87.51425219766772,-10.29318171890485,-88.11695059549005,-0.3113605102644943
-88.81350595790366,-5.362524195432225,88.97525221251797,-88.51215675899249,-10.353434799752403,-89.11485515681483,-0.3716135911120473
-89.81141051922842,-5.422777276279778,89.97497414749009,-89.51006132031725,-10.413687880599955,-90.11275971813959,-0.43186667195960027
-90.80931508055318,-5.4830303571273316,90.9746960824622,-90.50796588164201,-10.473940961447509,-91.11066427946434,-0.49211975280715414
-91.80721964187792,-5.543283437974884,91.9744180174343,-91.50587044296675,-10.534194042295061,-92.10856884078909,-0.5523728336547062
-92.8051242032027,-5.603536518822437,92.97413995240642,-92.50377500429153,-10.594447123142615,-93.10647340211386,-0.6126259145022592
-93.80302876452745,-5.6637895996699905,93.97386188737853,-93.50167956561629,-10.654700203990167,-94.10437796343862,-0.6728789953498131
-94.80093332585221,-5.7240426805175435,94.97358382235065,-94.49958412694104,-10.714953284837721,-95.10228252476338,-0.7331320761973661
-95.79883788717697,-5.784295761365096,95.97330575732275,-95.4974886882658,-10.775206365685273,-96.10018708608814,-0.7933851570449182
-96.79674244850173,-5.8445488422126495,96.97302769229486,-96.49539324959056,-10.835459446532827,-97.0980916474129,-0.8536382378924721
-97.79464700982649,-5.9048019230602025,97.97274962726698,-97.49329781091532,-10.895712527380379,-98.09599620873766,-0.913891318740025
-98.79255157115125,-5.9650550039077554,98.9724715622391,-98.49120237224008,-10.955965608227933,-99.09390077006242,-0.974144399587578
-99.79045613247602,-6.025308084755309,99.97219349721121,-99.48910693356486,-11.016218689075487,-100.09180533138719,-1.034397480435132
-100.78836069380077,-6.085561165602861,100.97191543218331,-100.4870114948896,-11.076471769923039,-101.08970989271194,-1.094650561282684
-101.78626525512553,-6.145814246450414,101.97163736715542,-101.48491605621436,-11.136724850770591,-102.0876144540367,-1.154903642130237
-102.78416981645029,-6.206067327297968,102.97135930212754,-102.48282061753912,-11.196977931618147,-103.08551901536146,-1.2151567229777909
-103.78207437777506,-6.266320408145521,103.97108123709965,-103.48072517886389,-11.257231012465699,-104.08342357668623,-1.2754098038253439
-104.77997893909982,-6.326573488993074,104.97080317207177,-104.47862974018865,-11.31748409331325,-105.08132813801099,-1.3356628846728968
-105.77788350042456,-6.386826569840627,105.97052510704387,-105.4765343015134,-11.377737174160805,-106.07923269933573,-1.3959159655204498
-106.77578806174932,-6.44707965068818,106.97024704201598,-106.47443886283816,-11.437990255008359,-107.07713726066049,-1.4561690463680028
-107.7736926230741,-6.507332731535733,107.9699689769881,-107.47234342416293,-11.49824333585591,-108.07504182198527,-1.5164221272155558
-108.77159718439886,-6.567585812383286,108.96969091196021,-108.47024798548769,-11.558496416703463,-109.07294638331003,-1.5766752080631088
-109.76950174572362,-6.62783889323084,109.96941284693233,-109.46815254681245,-11.618749497551018,-110.07085094463478,-1.6369282889106627
-110.76740630704838,-6.688091974078392,110.96913478190443,-110.4660571081372,-11.67900257839857,-111.06875550595954,-1.6971813697582148
-111.76531086837313,-6.748345054925945,111.96885671687654,-111.46396166946197,-11.739255659246123,-112.0666600672843,-1.7574344506057678
-112.7632154296979,-6.808598135773499,112.96857865184866,-112.46186623078673,-11.799508740093676,-113.06456462860906,-1.8176875314533216
-113.76111999102265,-6.868851216621052,113.96830058682077,-113.45977079211148,-11.85976182094123,-114.06246918993382,-1.8779406123008746
-114.75902455234743,-6.929104297468605,114.96802252179289,-114.47857101655563,-11.921232682662827,-115.03947808813922,-1.9369759122743826
-115.75739380477798,-6.9810001852126256,115.96774445676499,-115.5007052280228,-11.974406935574887,-116.01408238153316,-1.987593434850364
-116.75582673229815,-7.031750914349155,116.9674663917371,-116.5020025069752,-12.025304084451502,-117.00965095762109,-2.0381977442468076
-117.75425965981832,-7.082501643485685,117.96718832670922,-117.50043543449537,-12.076054813588033,-118.00808388514126,-2.0889484733833372
-118.75269258733849,-7.133252372622215,118.96691026168133,-118.49886836201554,-12.126805542724561,-119.00651681266143,-2.139699202519867
-119.75112551485867,-7.184003101758744,119.96663219665345,-119.49730128953573,-12.177556271861093,-120.00494974018162,-2.1904499316563957
-120.74955844237883,-7.234753830895273,120.96635413162555,-120.49573421705588,-12.22830700099762,-121.00338266770177,-2.2412006607929253
-121.747991369899,-7.285504560031803,121.96607606659767,-121.49416714457605,-12.279057730134152,-122.00181559522194,-2.291951389929454
-122.74642429741917,-7.3362552891683315,122.96579800156978,-122.49260007209622,-12.32980845927068,-123.00024852274211,-2.342702119065983
-123.74485722493934,-7.387006018304861,123.9655199365419,-123.4910329996164,-12.380559188407208,-123.99868145026228,-2.3934528482025135
-124.74329015245951,-7.437756747441391,124.96524187151401,-124.48946592713656,-12.43130991754374,-124.99711437778245,-2.444203577339043
-125.74172307997966,-7.48850747657792,125.96496380648611,-125.48789885465672,-12.482060646680267,-125.99554730530261,-2.494954306475572
-126.74015600749983,-7.539258205714449,126.96468574145823,-126.48633178217689,-12.532811375816797,-126.99398023282278,-2.5457050356121016
-127.73858893502,-7.590008934850979,127.96440767643034,-127.48476470969706,-12.583562104953327,-127.99241316034295,-2.5964557647486313
-128.7370218625402,-7.640759663987509,128.96412961140246,-128.48319763721724,-12.634312834089856,-128.99084608786313,-2.647206493885161
-129.73545479006034,-7.691510393124038,129.96385154637457,-129.4816305647374,-12.685063563226386,-129.9892790153833,-2.6979572230216906
-130.73388771758053,-7.742261122260568,130.96357348134669,-130.48006349225759,-12.735814292362917,-130.98771194290347,-2.7487079521582194
-131.73232064510069,-7.793011851397097,131.9632954163188,-131.47849641977774,-12.786565021499445,-131.98614487042363,-2.799458681294749
-132.73075357262084,-7.8437625805336255,132.9630173512909,-132.4769293472979,-12.837315750635973,-132.98457779794379,-2.850209410431278
-133.729186500141,-7.894513309670154,133.962739286263,-133.47536227481805,-12.888066479772503,-133.98301072546394,-2.9009601395678057
-134.72761942766118,-7.945264038806684,134.96246122123512,-134.47379520233824,-12.938817208909033,-134.98144365298413,-2.9517108687043354
-135.72605235518137,-7.996014767943214,135.96218315620723,-135.47222812985842,-12.98956793804556,-135.9798765805043,-3.002461597840866
-136.72448528270152,-8.046765497079743,136.96190509117935,-136.47066105737858,-13.040318667182092,-136.97830950802447,-3.0532123269773956
-137.7229182102217,-8.097516226216273,137.96162702615146,-137.46909398489876,-13.09106939631862,-137.97674243554465,-3.1039630561139253
-138.72135113774186,-8.148266955352803,138.96134896112358,-138.46752691241892,-13.141820125455151,-138.9751753630648,-3.154713785250455
-139.71978406526205,-8.199017684489332,139.9610708960957,-139.4659598399391,-13.192570854591679,-139.973608290585,-3.2054645143869847
-140.7182169927822,-8.249768413625862,140.9607928310678,-140.46439276745926,-13.24332158372821,-140.97204121810515,-3.2562152435235143
