s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
443.0,-284.8633924155435,103.85765395092538,-0.029703830728428127,0.82185628651926,4.990608341056171,4.99060834105612,-0.7324109673391878,0.6808628165212691
444.0,-284.13950253315846,104.54761782342065,-0.030529824544456838,0.7820181119372747,4.999005936292594,4.9990059362925345,-0.704712689174762,0.7094927946893297
445.0,-283.41527077661834,105.23709285303819,-0.031200665329884733,0.7404731195960005,4.998766055761147,4.998766055761119,-0.6746372200942485,0.7381494572669578
446.0,-282.69286491904523,105.9288449002421,-0.031703444415250276,0.6976526333020115,4.990978160488881,4.990978160488794,-0.6424205489459038,0.7663522938518835
447.0,-281.9633510462481,106.61179773770493,-0.03202869103684968,0.6549975410067296,4.995039122316049,4.995039122316026,-0.6091572932280548,0.7930494260177418
448.0,-281.16483252446847,107.21005133011401,-0.03217084000322063,0.6119352443801341,5.000106918118158,5.000106918118191,-0.5744526055876844,0.8185378451443283
449.0,-280.33995745914876,107.7751763861703,-0.03212973810299205,0.5682620411957591,4.996554878224138,4.996554878224149,-0.5381680452791672,0.8428375614793163
450.0,-279.5198365091185,108.34878627473208,-0.03191010392842706,0.5238807450728364,4.986859202193724,4.986859202193752,-0.5002441728481094,0.8658843846215908
451.0,-278.6854775357202,108.8948522290986,-0.03152040514673148,0.4803010247943474,4.9980802385157785,4.9980802385157395,-0.46204616207939336,0.8868558756120991
452.0,-277.7382495383453,109.22077279840533,-0.03097379909308179,0.4388221627354305,4.976143866719516,4.976143866719514,-0.4248735196352659,0.9052527228971705
453.0,-276.79879110180343,109.56194666149682,-0.030287718042890557,0.40050578732342096,4.9922413121748095,4.992241312174796,-0.38988415345299376,0.9208639133369504
454.0,-275.856730667507,109.89770822554517,-0.029482187978207702,0.3647379228797691,4.999048014615023,4.99904801461503,-0.35670446975602155,0.9342172773268944
455.0,-274.9161882137662,110.23768393050537,-0.028578443899723617,0.3309544274993255,4.999702603673474,4.999702603673487,-0.32494580949542706,0.945732637108058
456.0,-273.97211390661965,110.5660013703042,-0.027598176426295234,0.2982816334123924,4.9994649437732575,4.999464943773271,-0.29387815286287267,0.9558428904741124
457.0,-273.000126024565,110.80009798304383,-0.02656064384906498,0.2660865419316719,4.997754570099909,4.997754570099909,-0.26295772681180823,0.9648073558539894
458.0,-272.0273431706787,111.03165493276012,-0.025480756411850398,0.2364987308892603,4.999889673243588,4.999889673243533,-0.23430026074512675,0.9721642802606797
459.0,-271.05404024599386,111.26099155329729,-0.024372775517865743,0.2099376270875657,4.998690319791463,4.998690319791478,-0.20839889680404283,0.9780439150727629
460.0,-270.08145858568105,111.49448988661932,-0.023249571357491217,0.18639182605045002,4.995423182040152,4.99542318204018,-0.18531443119717683,0.9826792770736883
461.0,-269.10646683555495,111.71328925923753,-0.022122169500261878,0.16539025551761455,5.000061679305549,5.000061679305578,-0.16463727367879671,0.9863541798540791
462.0,-268.1130465516333,111.82284313335317,-0.02100204016572578,0.14616509637769146,4.998468868300543,4.998468868300563,-0.1456452011257534,0.9893368867019156
463.0,-267.12185166384114,111.95530687429167,-0.019902882264255767,0.12785366180225088,5.000012397346482,5.0000123973464685,-0.1275056184887501,0.99183784826644
464.0,-266.1301788108961,112.08407056672013,-0.018834810935523316,0.11095123696061401,4.9990778845986465,4.9990778845986465,-0.11072373880565085,0.9938512231037894
465.0,-265.13864591459276,112.21399106435116,-0.017802928435327582,0.0952851113012903,4.997160365358267,4.9971603653582335,-0.09514099047917184,0.995463807443868
466.0,-264.14702726357257,112.34292528344656,-0.016803777134407286,0.08009225515433888,4.997519255333713,4.997519255333689,-0.08000665372422493,0.9967943295183073
467.0,-263.1526342603227,112.43289519492754,-0.015838484425159265,0.06442171374923907,4.9995291861284015,4.999529186128409,-0.06437716295499953,0.9979256389580666
468.0,-262.1523394738721,112.44011724788236,-0.014912094290813954,0.050964708810047187,4.995899321545106,4.995899321545103,-0.050942649039586604,0.9987015803075658
469.0,-261.1525166854453,112.45395299017972,-0.014038688180855486,0.03925437635190629,4.998276944703181,4.998276944703195,-0.03924429591083641,0.999229645896509
470.0,-260.15256723670177,112.46601812876877,-0.013233844896880623,0.028996519952014754,4.999301421507102,4.999301421507072,-0.028992456752686288,0.9995796303704091
471.0,-259.15265173285496,112.4785421688338,-0.012509893396558435,0.019555475579440647,4.999874693622201,4.999874693622156,-0.01955422921344343,0.9998087977807896
472.0,-258.15272729699217,112.49100396885588,-0.01187966507630419,0.010498270738417276,4.99999516599579,4.999995165995818,-0.010498077897289812,0.999944893661877
473.0,-257.1528045561742,112.50324184356602,-0.011366883836203467,0.0034217070383304004,4.99992319033472,4.999923190334763,-0.0034217003613982245,0.9999941459661837
474.0,-256.15286076431863,112.50834376029908,-0.010981199354939922,6.280945223503568,5.000002042717549,5.000002042717577,0.002240081802571703,0.9999974910136115
475.0,-255.15288085854556,112.50085836230888,-0.010720048846906208,6.276079479689403,4.99999920488066,4.999999204880659,0.007105767691498502,0.9999747537140697
