s,x,y,kappa,altitude (m)
1805.829782,250.2826563,206.9915727,0.011888693,2.683
1806.829688,249.6852193,207.7934721,0.01248519,2.652
1807.829594,249.0757092,208.5861974,0.013116853,2.622
1808.8295,248.4531095,209.3686828,0.01378833,2.591
1809.829405,247.8166974,210.1400143,0.014504332,2.561
1810.829311,247.1658657,210.899338,0.015268655,2.531
1811.829217,246.4999546,211.6456756,0.016083292,2.501
1812.829123,245.8179812,212.3772912,0.016948225,2.47
1813.829028,245.1188412,213.0921647,0.017861981,2.44
1814.828934,244.4019995,213.7889565,0.018822492,2.41
1815.82884,243.6705044,214.4706145,0.019827671,2.38
1816.828746,242.9287966,215.1417524,0.020875912,2.35
1817.828651,242.1806768,215.806203,0.021966401,2.321
1818.828557,241.4239946,216.460535,0.023099203,2.292
1819.828463,240.6533761,217.0973832,0.024274982,2.263
1820.828369,239.8638461,217.7099201,0.025494335,2.234
1821.828274,239.0574355,218.300705,0.026756758,2.205
1822.82818,238.2418757,218.8799349,0.028059607,2.177
1823.828086,237.4249277,219.4578329,0.029397402,2.149
1824.827992,236.6079709,220.0354476,0.030761297,2.122
1825.827897,235.7833972,220.6009049,0.032138465,2.095
1826.827803,234.9429514,221.1414005,0.033511411,2.069
1827.827709,234.0818881,221.6491019,0.034857499,2.041
1828.827615,233.202236,222.1257743,0.036148964,2.013
1829.82752,232.3067874,222.574251,0.037353418,1.985
1830.827426,231.3964823,222.9920301,0.038435001,1.956
1831.827332,230.468155,223.3647843,0.039356336,1.925
1832.827238,229.5181402,223.6766677,0.040081434,1.893
1833.827143,228.5462457,223.9164932,0.040579133,1.859
1834.827049,227.5579065,224.0806209,0.040826382,1.822
1835.826955,226.5591601,224.1661632,0.040810679,1.782
1836.826861,225.5570967,224.1709785,0.040531387,1.74
1837.826766,224.5594928,224.0934121,0.039999888,1.72
1838.826672,223.5725355,223.9358371,0.039238494,1.769
1839.826578,222.5958469,223.7171149,0.038278126,1.816
1840.826484,221.6273667,223.4603283,0.037155136,1.86
1841.826389,220.6656989,223.1827117,0.035907946,1.903
1842.826295,219.7113894,222.8844035,0.034574093,1.943
1843.826201,218.7653373,222.5624343,0.033187998,1.982
1844.826107,217.8281127,222.2150272,0.031779514,2.019
1845.826012,216.8990116,221.8450266,0.030373133,2.054
1846.825918,215.9770213,221.4563961,0.028987779,2.086
1847.825824,215.0615987,221.0521159,0.027637154,2.117
1848.82573,214.1552395,220.6288054,0.026330431,2.146
1849.825635,213.2616488,220.1805524,0.025073065,2.173
