latitude,longitude,elevation,time,speed,course,horizontal_dilution,vertical_dilution,position_dilution
-6.11751499,106.856342415,1.398,,,,,,
-6.11750981,106.856349797,1.322,,,,,,
-6.117504798,106.856357286,1.247,,,,,,
-6.117500064,106.856364956,1.173,,,,,,
-6.117495583,106.856372788,1.131,,,,,,
-6.117491289,106.856380732,1.089,,,,,,
-6.117487126,106.856388745,1.047,,,,,,
-6.117483105,106.856396825,1.032,,,,,,
-6.117479261,106.856404987,1.017,,,,,,
-6.117475622,106.856413242,1.0,,,,,,
-6.117472161,106.856421577,0.983,,,,,,
-6.117468823,106.856429968,0.964,,,,,,
-6.117465561,106.856438394,0.946,,,,,,
-6.11746242,106.856446863,0.927,,,,,,
-6.117459506,106.856455407,0.906,,,,,,
-6.117456918,106.856464052,0.885,,,,,,
-6.117454686,106.856472802,0.861,,,,,,
-6.117452769,106.856481636,0.836,,,,,,
-6.117451128,106.856490531,0.81,,,,,,
-6.117449771,106.856499472,0.783,,,,,,
-6.11744877,106.856508451,0.754,,,,,,
-6.117448194,106.85651746,0.724,,,,,,
-6.117448036,106.85652649,0.692,,,,,,
-6.117448199,106.856535531,0.659,,,,,,
-6.117448585,106.85654457,0.625,,,,,,
-6.117449181,106.856553592,0.59,,,,,,
-6.117450075,106.856562581,0.554,,,,,,
-6.117451361,106.856571517,0.518,,,,,,
-6.117453069,106.856580389,0.48,,,,,,
-6.117455141,106.856589188,0.44,,,,,,
-6.117457515,106.856597907,0.4,,,,,,
-6.117460156,106.856606542,0.36,,,,,,
-6.117463065,106.85661509,0.319,,,,,,
-6.11746625,106.856623549,0.277,,,,,,
-6.117469737,106.856631896,0.234,,,,,,
-6.117473598,106.856640063,0.191,,,,,,
-6.117477905,106.856647979,0.147,,,,,,
-6.117482663,106.856655625,0.102,,,,,,
-6.117487668,106.856663128,0.057,,,,,,
-6.117492682,106.856670643,0.055,,,,,,
-6.117497526,106.85667828,0.092,,,,,,
-6.117502372,106.856685901,0.147,,,,,,
-6.117507509,106.856693281,0.219,,,,,,
-6.11751316,106.856700252,0.289,,,,,,
-6.117519222,106.856706915,0.359,,,,,,
-6.117525492,106.856713454,0.429,,,,,,
-6.117531853,106.856719944,0.498,,,,,,
-6.117538559,106.856725973,0.566,,,,,,
-6.11754596,106.856731006,0.629,,,,,,
-6.117553934,106.85673521,0.688,,,,,,
-6.117561548,106.856739959,0.749,,,,,,
-6.117568328,106.856745905,0.816,,,,,,
-6.117574733,106.856752283,0.885,,,,,,
-6.117581182,106.85675856,0.954,,,,,,
-6.117588016,106.856764382,1.02,,,,,,
-6.117595298,106.856769677,1.085,,,,,,
-6.117602853,106.856774613,1.147,,,,,,
-6.117610517,106.85677935,1.209,,,,,,
-6.117618249,106.856783943,1.27,,,,,,
-6.117626051,106.856788408,1.33,,,,,,
-6.117633932,106.856792748,1.39,,,,,,
-6.117641915,106.856796901,1.449,,,,,,
-6.117650026,106.856800786,1.506,,,,,,
-6.11765829,106.856804328,1.561,,,,,,
-6.117666698,106.856807519,1.614,,,,,,
-6.117675225,106.856810382,1.666,,,,,,
-6.117683845,106.856812945,1.715,,,,,,
-6.117692542,106.856815216,1.763,,,,,,
-6.117701308,106.856817197,1.809,,,,,,
-6.117710135,106.856818886,1.852,,,,,,
-6.117719013,106.856820284,1.894,,,,,,
-6.117727931,106.856821392,1.935,,,,,,
-6.117736877,106.856822213,1.973,,,,,,
-6.117745842,106.85682278,2.009,,,,,,
-6.117754819,106.856823152,2.044,,,,,,
-6.1177638,106.856823386,2.078,,,,,,
-6.117772783,106.856823504,2.111,,,,,,
-6.117781765,106.856823498,2.121,,,,,,
-6.117790746,106.856823361,2.102,,,,,,
-6.117799725,106.856823089,2.082,,,,,,
-6.117808699,106.856822684,2.061,,,,,,
-6.117817666,106.856822146,2.039,,,,,,
-6.117826625,106.856821488,2.017,,,,,,
-6.117835575,106.856820727,1.994,,,,,,
-6.117844519,106.856819883,1.971,,,,,,
-6.117853455,106.856818973,1.947,,,,,,
-6.117862387,106.856818014,1.924,,,,,,
-6.117871315,106.85681702,1.9,,,,,,
-6.11788024,106.856816005,1.877,,,,,,
-6.117889164,106.856814975,1.854,,,,,,
-6.117898087,106.85681394,1.831,,,,,,
-6.117907011,106.856812917,1.808,,,,,,
-6.11791594,106.856811928,1.786,,,,,,
-6.117924874,106.856810993,1.764,,,,,,
-6.117933816,106.856810129,1.743,,,,,,
-6.117942764,106.85680935,1.722,,,,,,
-6.117951721,106.856808671,1.702,,,,,,
-6.117960685,106.856808098,1.683,,,,,,
-6.117969657,106.856807635,1.664,,,,,,
-6.117978636,106.856807288,1.646,,,,,,
-6.117987619,106.856807106,1.629,,,,,,
-6.1179966,106.856807152,1.613,,,,,,
-6.118005575,106.85680747,1.598,,,,,,
-6.118014544,106.856807979,1.584,,,,,,
-6.11802351,106.856808549,1.57,,,,,,
-6.118032477,106.856809076,1.555,,,,,,
-6.118041442,106.856809605,1.541,,,,,,
-6.118050406,106.856810226,1.526,,,,,,
-6.11805936,106.856811029,1.506,,,,,,
-6.118068284,106.856812101,1.478,,,,,,
-6.11807715,106.856813529,1.451,,,,,,
-6.118085948,106.856815327,1.426,,,,,,
-6.118094719,106.856817286,1.401,,,,,,
-6.118103512,106.856819149,1.376,,,,,,
-6.118112346,106.856820817,1.35,,,,,,
-6.118121169,106.856822512,1.325,,,,,,
-6.118129922,106.856824497,1.3,,,,,,
-6.118138591,106.856826846,1.278,,,,,,
-6.118147222,106.856829372,1.256,,,,,,
-6.118155861,106.856831873,1.234,,,,,,
-6.118164514,106.856834312,1.211,,,,,,
-6.118173137,106.856836832,1.189,,,,,,
-6.118181686,106.856839581,1.168,,,,,,
-6.118190151,106.856842595,1.149,,,,,,
-6.118198562,106.856845776,1.13,,,,,,
-6.118206953,106.856849024,1.111,,,,,,
-6.118215325,106.856852313,1.093,,,,,,
-6.118223637,106.856855734,1.076,,,,,,
-6.118231845,106.85685939,1.059,,,,,,
-6.118239927,106.856863324,1.044,,,,,,
-6.118247919,106.856867455,1.03,,,,,,
-6.118255864,106.856871682,1.017,,,,,,
-6.118263788,106.856875942,1.004,,,,,,
-6.11827166,106.856880293,0.991,,,,,,
-6.118279431,106.856884822,0.979,,,,,,
-6.118287058,106.856889606,0.969,,,,,,
-6.118294499,106.85689468,0.961,,,,,,
-6.118301714,106.856900063,0.954,,,,,,
-6.118308681,106.85690576,0.949,,,,,,
-6.11831547,106.856911677,0.946,,,,,,
-6.118322184,106.856917685,0.944,,,,,,
-6.118328913,106.856923675,0.941,,,,,,
-6.118335639,106.856929662,0.962,,,,,,
-6.11834229,106.856935732,1.03,,,,,,
-6.118348792,106.856941968,1.101,,,,,,
-6.118355089,106.856948419,1.225,,,,,,
