s,velocity,energy,time
13.73219257,27.11692016,1.118211797,3.518701237
14.14924634,27.31366408,1.129146823,3.573868515
14.34783697,27.40394945,1.134180314,3.6
14.39690598,27.42587849,1.135404116,3.606440941
14.4951221,27.46951862,1.13784074,3.619322823
14.70732048,27.5621054,1.143018173,3.647085557
14.97247706,27.67462328,1.149325029,3.681648201
15.11370378,27.73315135,1.152612329,3.7
15.16563398,27.75438096,1.153805566,3.706735828
15.26957342,27.79661977,1.156180881,3.720207484
15.48582724,27.88290649,1.161040979,3.748171577
15.75525666,27.98747847,1.166945332,3.782892868
15.78808209,28,1.167653419,3.787114189
15.78808209,28,1.167653419,3.787114189
15.78816327,28.00003087,1.167653419,3.787124627
15.78822917,28.00005587,1.167653419,3.787133099
15.78836096,28.00010573,1.167653419,3.787150044
15.78849276,28.00015519,1.167653419,3.787166989
15.78850099,28.00015827,1.167653419,3.787168048
15.78850099,28.00015827,1.167653419,3.787168048
15.78854383,28.00017416,1.167653419,3.787173555
15.78854383,28.00017416,1.167653419,3.787173555
15.78858666,28.00019003,1.167653419,3.787179062
15.78867233,28.00022164,1.167653419,3.787190076
15.78875799,28.00025301,1.167653419,3.78720109
15.78894392,28.00032028,1.167653419,3.787224995
15.7893523,28.00046417,1.167653419,3.7872775
15.78976067,28.00060287,1.167653419,3.787330005
15.79016905,28.00073656,1.167653419,3.787382509
15.79057743,28.00086537,1.167653419,3.787435014
15.79108406,28.00101866,1.167653419,3.787500149
15.79159068,28.00116499,1.167653419,3.787565284
15.79209731,28.00130465,1.167653419,3.787630419
15.79260394,28.0014379,1.167653419,3.787695554
15.79327607,28.00160526,1.167653419,3.787781966
15.7939482,28.0017624,1.167653419,3.787868378
15.79462034,28.00190989,1.167653419,3.78795479
15.79543204,28.00207592,1.167653419,3.788059144
15.79624375,28.00222954,1.167653419,3.788163498
15.79705546,28.00237159,1.167653419,3.788267853
15.79804141,28.00252975,1.167653419,3.788394607
15.79902737,28.00267332,1.167653419,3.78852136
15.80001333,28.0028035,1.167653419,3.788648114
15.80124856,28.00294948,1.167653419,3.788806914
15.8024838,28.00307817,1.167653419,3.788965713
15.80399481,28.00321479,1.167653419,3.789159964
15.80550583,28.00333112,1.167653419,3.789354215
15.80740544,28.00345262,1.167653419,3.789598421
15.80930506,28.0035504,1.167653419,3.789842627
