s,velocity,energy,time
2.67910244,13.48965314,0.400377409,1.646388627
2.753980872,13.66476635,0.408788867,1.666242659
2.829830937,13.8420126,0.417278716,1.686096691
2.883531553,13.96751301,0.423277964,1.7
2.885210299,13.97143724,0.423465397,1.70043256
2.888568735,13.97928806,0.423840358,1.70129768
2.905389257,14.01861408,0.42571805,1.705623281
2.968757222,14.16688415,0.432789228,1.721810661
3.116204908,14.51312213,0.449248216,1.758826808
3.284470906,14.91173247,0.468094108,1.8
3.286306779,14.91610731,0.4683003,1.800443088
3.289979602,14.92486095,0.46871284,1.801329263
3.308376113,14.96875003,0.470780282,1.805760139
3.365471028,15.10546497,0.477209873,1.819429104
3.491853978,15.41128787,0.49153164,1.849247389
3.712976179,15.95812946,0.516957825,1.9
3.785116126,16.13955343,0.525367897,1.91609114
3.828546437,16.24868908,0.530434805,1.925745824
3.872269937,16.35819957,0.535538039,1.935400507
3.937241384,16.51949134,0.54309833,1.949628831
4.026548286,16.73731047,0.553387676,1.968963513
4.117019009,16.95288363,0.563635644,1.988298195
4.172334495,17.0821664,0.569800748,2
4.219047673,17.18922401,0.57491636,2.009783306
4.313052155,17.40195912,0.585095037,2.029349918
4.432560973,17.66478988,0.597704866,2.053887793
4.595488819,18.00994502,0.614316444,2.086770462
4.661923968,18.14649983,0.620904706,2.1
4.786397737,18.39229963,0.632798005,2.12436376
5.038610771,18.87481061,0.65620251,2.173091279
5.180660178,19.13352664,0.668799146,2.2
5.184576369,19.14053045,0.669140575,2.200736567
5.192411617,19.15452969,0.669823087,2.202209702
5.221153884,19.20565544,0.67231658,2.207604471
5.263353699,19.28007984,0.675948801,2.215499309
5.342620745,19.41786711,0.682680588,2.230247449
5.527123984,19.72882332,0.697907126,2.264181948
5.725002757,20.04796744,0.713584898,2.3
5.729515951,20.05507832,0.713934753,2.300810144
5.738545536,20.06929064,0.714634056,2.302430431
5.767706976,20.11499408,0.716883574,2.307655418
5.810518444,20.18155495,0.720161617,2.315304772
5.884994169,20.29585488,0.725796021,2.328552291
6.11847963,20.6424403,0.742921747,2.369616417
6.293750376,20.89148144,0.755266428,2.4
6.311072027,20.91555567,0.756461659,2.402981415
6.345755107,20.96358632,0.758846893,2.408944244
6.500287579,21.17347775,0.769284673,2.435349354
6.797423876,21.55914091,0.788525428,2.485413717
6.884997618,21.66852255,0.793997599,2.5
6.904895745,21.69307325,0.795226682,2.503302126
6.944736917,21.74204064,0.797678816,2.509906378
7.041066977,21.85889362,0.803535902,2.525813753
7.165808831,22.00704854,0.810973089,2.546288438
7.452251709,22.33442588,0.827451617,2.592799944
7.496970462,22.3839774,0.829951332,2.6
7.564343257,22.45742277,0.833660699,2.610800084
7.699525597,22.60300488,0.841019683,2.632400253
7.995432314,22.90969614,0.856564465,2.679211985
8.128105424,23.04208917,0.863293071,2.7
8.213844505,23.12544902,0.867536625,2.71334723
8.385933986,23.29033275,0.875938955,2.740041691
8.735893777,23.61127753,0.892344661,2.793765017
8.776818538,23.64759609,0.894205552,2.8
8.795261511,23.66386287,0.895039203,2.802805742
8.832172754,23.69632034,0.896702966,2.808417227
8.925892488,23.77785733,0.90088571,2.822630893
9.049966667,23.88391018,0.906332947,2.841374094
9.316612615,24.10481187,0.917704483,2.881380386
9.441544893,24.20512558,0.92288006,2.9
9.472191192,24.22937428,0.92413247,2.904553427
9.5335449,24.27768791,0.926628659,2.91366028
9.801234802,24.48319517,0.937265828,2.953187195
10.1211299,24.71797349,0.949457756,3
10.15570407,24.74261309,0.950739692,3.005030472
10.22492099,24.79168595,0.953293798,3.015091415
10.38316589,24.90199094,0.959041971,3.038019147
10.58246939,25.03728502,0.966106071,3.066753749
10.81439482,25.18982504,0.974089231,3.1
10.85114713,25.21347154,0.975328422,3.105247525
10.9247204,25.26055809,0.977796959,3.115742575
11.08726991,25.36284005,0.983165908,3.138861461
11.29152055,25.48804007,0.989750743,3.167781404
11.520237,25.62400778,0.996918426,3.2
11.5591618,25.64665268,0.998114146,3.205463843
11.63707983,25.69173685,1.000495712,3.21639153
11.98352507,25.8864228,1.010802878,3.264753196
12.23764404,26.0234351,1.018079993,3.3
12.27859426,26.04502081,1.019228088,3.305660229
12.36056225,26.08798925,1.021514478,3.316980686
12.54350823,26.18219797,1.026534424,3.342180731
12.77303756,26.29717702,1.03267453,3.373671411
12.96570503,26.39101615,1.03769702,3.4
13.00926691,26.41185243,1.038813411,3.40593759
13.09645906,26.45331968,1.041036223,3.417812771
13.28357041,26.54072529,1.045728335,3.443234528
13.51761809,26.64710012,1.05145158,3.474917404
13.70356528,26.72934389,1.055886512,3.5
13.74954622,26.74931972,1.056965314,3.506188247
13.84157643,26.78906654,1.059112915,3.518564741
14.25075397,26.96027858,1.068388605,3.573376167
14.45043617,27.04065432,1.072757711,3.6
14.49862877,27.05970432,1.073794382,3.606411503
14.59508146,27.09760207,1.075857808,3.619234508
14.80319236,27.17783738,1.080233678,3.646841809
15.06307048,27.27516691,1.085555551,3.681203963
15.20561338,27.32723837,1.088409186,3.7
15.37623231,27.38779085,1.091734595,3.72242708
15.71821084,27.50668002,1.098276122,3.76728124
15.96858809,27.59064594,1.102911741,3.8
16.14840094,27.6488202,1.106132575,3.823412438
16.5087689,27.76295024,1.112464402,3.870237314
16.73858712,27.8332152,1.116376183,3.9
16.92782041,27.8890391,1.119495204,3.924426795
17.3070295,27.99846976,1.125623082,3.973280385
17.5150526,28.0564657,1.128882412,4
17.71408816,28.11009026,1.131904864,4.025490065
18.11290297,28.21512059,1.137839183,4.076470196
18.29747218,28.26211499,1.140504266,4.1
18.50665363,28.31362922,1.143434244,4.126596845
18.9257613,28.41443751,1.149183225,4.179790536
19.08537682,28.45158258,1.151309684,4.2
19.32291841,28.5049901,1.154376854,4.23
19.79887014,28.60921822,1.160381523,4.29
19.87836363,28.62608861,1.16135719,4.3
20.27706983,28.70684698,1.16605042,4.35
20.67632551,28.78597033,1.170661472,4.4
