s,x,y,velocity,kappa,gradient_deg
195.9731265,-91.0762136,173.5825314,24.945264779740683,-0.000289147,-2.032625704133798
196.9729894,-91.56098086,174.457017,27.16494916007104,-0.000294354,-2.05357099884051
197.9728523,-92.04447704,175.3322035,25.188616505408547,-0.000297778,-2.072425758461485
198.9727152,-92.52634153,176.2082896,26.644650761162158,-0.000299391,-2.0892696277053147
199.9725781,-93.00676598,177.0851688,27.00107112991935,-0.000299181,-2.1041930576952685
200.972441,-93.48609173,177.9626522,27.26549635872083,-0.000297152,-2.1172949457029904
201.9723039,-93.96466012,178.8405506,25.292332548521326,-0.000293327,-2.1286824925596446
202.9721668,-94.4428104,179.7186762,24.00066923233034,-0.000287742,-2.138468565639108
203.9720297,-94.92077195,180.5969024,27.29994313755429,-0.000280447,-2.146771409072472
204.9718925,-95.39861082,181.4751937,24.182767322612744,-0.000271509,-2.153712870586672
205.9717554,-95.87637984,182.3535222,24.549304490656983,-0.000261012,-2.1594151975101323
206.9716183,-96.35413182,183.2318597,27.42024494083602,-0.000249062,-2.1640013801584965
207.9714812,-96.83191512,184.1101806,25.012247329477,-0.000235786,-2.16759282703723
208.9713441,-97.30973774,184.9884806,24.7747567968488,-0.000221338,-2.1703058930130834
209.971207,-97.78758627,185.8667669,27.073588756946283,-0.000205888,-2.1722502146518057
210.9710699,-98.26544709,186.7450467,24.213040071195017,-0.000189614,-2.173530352509441
211.9709328,-98.7433066,187.6233272,23.993513369829397,-0.000172688,-2.1742419708566345
212.9707957,-99.22115499,188.5016135,24.26019406887758,-0.000155272,-2.174468409771623
213.9706586,-99.69899281,189.3799056,25.12558367199507,-0.000137532,-2.1742795778336546
214.9705215,-100.1768223,190.258202,24.53116543189214,-0.000119654,-2.173729730585211
215.9703843,-100.6546456,191.1365018,26.565627607298005,-0.000101901,-2.1728567992823
216.9702472,-101.1324651,192.0148037,26.83065599100025,-8.46e-05,-2.171679901092132
