latitude,longitude,x_local,y_local
25.48688432,51.45872059,873.9978068593191,-179.41620019357651
25.48688111,51.45863641,865.5380606333492,-179.80081639718264
25.48687945,51.45856178,858.0375978306402,-180.01047739898786
25.48689356,51.45847749,849.5601905245567,-178.47713726991788
25.48691183,51.45836857,838.6056272590067,-176.49164366861805
25.48710123,51.4573221,733.35243789386,-155.87952090334147
25.48723533,51.45660166,660.8898970113369,-141.27805634448305
25.48727061,51.45640307,640.9161943558138,-137.43965089367703
25.48730325,51.45623158,623.6673288426828,-133.88423140719533
25.48732614,51.45606983,607.4011392019456,-131.40513310953975
25.48732835,51.45590974,591.3096440761583,-131.21550784027204
25.48730017,51.45579688,579.9767605420202,-134.37494448246434
25.4872657,51.45571138,571.3962125006365,-138.22150232782587
25.48721005,51.45561991,562.2236399309477,-144.41554087633267
