s,velocity,energy
3.284470906,14.91173247,0.468094108
3.286306779,14.91610731,0.4683003
3.289979602,14.92486095,0.46871284
3.308376113,14.96875003,0.470780282
3.365471028,15.10546497,0.477209873
3.491853978,15.41128787,0.49153164
3.712976179,15.95812946,0.516957825
3.785116126,16.13955343,0.525367897
3.828546437,16.24868908,0.530434805
3.872269937,16.35819957,0.535538039
3.937241384,16.51949134,0.54309833
4.026548286,16.73731047,0.553387676
4.117019009,16.95288363,0.563635644
4.172334495,17.0821664,0.569800748
4.219047673,17.18922401,0.57491636
4.313052155,17.40195912,0.585095037
4.432560973,17.66478988,0.597704866
4.595488819,18.00994502,0.614316444
4.661923968,18.14649983,0.620904706
4.786397737,18.39229963,0.632798005
5.038610771,18.87481061,0.65620251
5.180660178,19.13352664,0.668799146
5.184576369,19.14053045,0.669140575
5.192411617,19.15452969,0.669823087
5.221153884,19.20565544,0.67231658
5.263353699,19.28007984,0.675948801
5.342620745,19.41786711,0.682680588
5.527123984,19.72882332,0.697907126
5.725002757,20.04796744,0.713584898
5.729515951,20.05507832,0.713934753
5.738545536,20.06929064,0.714634056
5.767706976,20.11499408,0.716883574
5.810518444,20.18155495,0.720161617
5.884994169,20.29585488,0.725796021
6.11847963,20.6424403,0.742921747
6.293750376,20.89148144,0.755266428
6.311072027,20.91555567,0.756461659
6.345755107,20.96358632,0.758846893
6.500287579,21.17347775,0.769284673
6.797423876,21.55914091,0.788525428
6.884997618,21.66852255,0.793997599
6.904895745,21.69307325,0.795226682
6.944736917,21.74204064,0.797678816
7.041066977,21.85889362,0.803535902
7.165808831,22.00704854,0.810973089
7.452251709,22.33442588,0.827451617
7.496970462,22.3839774,0.829951332
7.564343257,22.45742277,0.833660699
7.699525597,22.60300488,0.841019683
7.995432314,22.90969614,0.856564465
8.128105424,23.04208917,0.863293071
8.213844505,23.12544902,0.867536625
8.385933986,23.29033275,0.875938955
8.735893777,23.61127753,0.892344661
8.776818538,23.64759609,0.894205552
8.795261511,23.66386287,0.895039203
8.832172754,23.69632034,0.896702966
8.925892488,23.77785733,0.90088571
9.049966667,23.88391018,0.906332947
9.316612615,24.10481187,0.917704483
9.441544893,24.20512558,0.92288006
9.472191192,24.22937428,0.92413247
9.5335449,24.27768791,0.926628659
9.801234802,24.48319517,0.937265828
10.1211299,24.71797349,0.949457756
10.15570407,24.74261309,0.950739692
10.22492099,24.79168595,0.953293798
10.38316589,24.90199094,0.959041971
10.58246939,25.03728502,0.966106071
10.81439482,25.18982504,0.974089231
10.85114713,25.21347154,0.975328422
10.9247204,25.26055809,0.977796959
11.08726991,25.36284005,0.983165908
11.29152055,25.48804007,0.989750743
11.520237,25.62400778,0.996918426
11.5591618,25.64665268,0.998114146
11.63707983,25.69173685,1.000495712
11.98352507,25.8864228,1.010802878
12.23764404,26.0234351,1.018079993
12.27859426,26.04502081,1.019228088
12.36056225,26.08798925,1.021514478
12.54350823,26.18219797,1.026534424
12.77303756,26.29717702,1.03267453
12.96570503,26.39101615,1.03769702
13.00926691,26.41185243,1.038813411
13.09645906,26.45331968,1.041036223
13.28357041,26.54072529,1.045728335
13.51761809,26.64710012,1.05145158
13.70356528,26.72934389,1.055886512
13.74954622,26.74931972,1.056965314
13.84157643,26.78906654,1.059112915
14.25075397,26.96027858,1.068388605
14.45043617,27.04065432,1.072757711
14.49862877,27.05970432,1.073794382
14.59508146,27.09760207,1.075857808
14.80319236,27.17783738,1.080233678
15.06307048,27.27516691,1.085555551
15.20561338,27.32723837,1.088409186
15.37623231,27.38779085,1.091734595
15.71821084,27.50668002,1.098276122
15.96858809,27.59064594,1.102911741
16.14840094,27.6488202,1.106132575
16.5087689,27.76295024,1.112464402
16.73858712,27.8332152,1.116376183
16.87517461,27.8737544,1.118639813
17.14874117,27.95366342,1.123108996
17.311299,28,1.125707043
17.311299,28,1.125707043
17.31136181,28.00001769,1.125707043
17.31142539,28.00003555,1.125707043
17.31155256,28.00007114,1.125707043
17.31159954,28.00008422,1.125707043
17.31159954,28.00008422,1.125707043
