s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
2758.0,485.17404862972177,-281.51839087307843,0.00013801192375857054,4.238221094303597,5.9999999999581615,5.999999999958188,0.8896729713876423,-0.4565982960790409
2759.0,484.71746067870725,-282.4080691534608,0.0001440099668632355,4.238415804759979,5.999999897860254,5.999999897860254,0.8897618589849803,-0.4564250587945322
2760.0,484.26087233908805,-283.29774723548366,0.00014917922552528816,4.238662799428664,5.9999994510833625,5.9999994510833625,0.8898745663994417,-0.45620527843878084
2761.0,483.8042854493521,-284.1874260575858,0.0001534696499267477,4.238956836135118,5.999998400271539,5.999998400271615,0.8900086690268454,-0.45594360293468655
2762.0,483.34769315010874,-285.0771021184554,0.00015684035318593812,4.2392907351972475,5.999996752491722,5.999996752491543,0.8901608585525176,-0.45564640446408056
2763.0,482.8911210336918,-285.9667884814602,0.00015925961193842157,4.239655770030196,5.999993455461644,5.999993455461568,0.8903271260508032,-0.45532143439345885
2764.0,482.43447361539415,-286.85643640732354,0.00016070486684947942,4.240042057567356,5.99999437665744,5.9999943766575905,0.8905029446154938,-0.4549774781581331
2765.0,481.9785660541036,-287.74646198628335,0.00016116272301240766,4.240438948751775,5.9999989915375656,5.999998991537616,0.8906834510237693,-0.45462400956437504
2766.0,481.525285138413,-288.63782831194607,0.00016062895020027036,4.240835419027943,5.999993361074768,5.999993361074844,0.8908636259229947,-0.4542708443289472
2767.0,481.07274282645744,-289.5295716509849,0.00015910848294641044,4.24122045884548,5.9999935955692365,5.999993595569187,0.8910384722438988,-0.4539277926953349
2768.0,480.62001984109736,-290.4212227669724,0.0001566154204501661,4.241583464161902,5.999996926976456,5.999996926976456,0.8912031917349564,-0.4536043110921966
2769.0,480.16734522254575,-291.3128985713451,0.0001531730263137503,4.241914626935246,5.999998505327825,5.999998505327774,0.8913533597252888,-0.45330915290388707
2770.0,479.7146576560694,-292.2045677665706,0.00014881372813297473,4.2422053256076975,5.99999950100978,5.999999501009653,0.891485098430165,-0.453050018515571
2771.0,479.2619735557833,-293.0962387310812,0.00014357911697835895,4.24244851554963,5.9999999162111886,5.999999916211011,0.891595249274959,-0.4528332049113933
2772.0,478.80928852759115,-293.98790922195,0.00013751994681065552,4.242639119572599,5.99999999834308,5.999999998342979,0.8916815449092463,-0.45266325504535915
2773.0,478.3566037478014,-294.879579839613,0.0001306961338808194,4.242774418121464,5.999999923672915,5.999999923672864,0.8917427814291654,-0.45254260768349297
2774.0,477.9039189015135,-295.77125042333364,0.00012317675617143557,4.242854440632886,5.99999982789089,5.999999827890838,0.8917789921699361,-0.45247124673770517
2775.0,477.45123407302725,-296.66292101614096,0.00011504005291201912,4.242882352552467,5.999999785441585,5.999999785441636,0.8917916211636047,-0.4524463552979401
2776.0,476.99854923977557,-297.55459160651543,0.00010637342427209366,4.242864858597951,5.999999812593731,5.99999981259368,0.8917837059511827,-0.45246195619076574
2777.0,476.54586440779957,-298.44626219754116,9.72734310298818e-05,4.242812545479703,5.999999882833873,5.999999882833797,0.8917600350351215,-0.45250860755808686
2778.0,476.0931795754821,-299.3379327883926,8.784579509404469e-05,4.242740450576616,5.99999995272698,5.9999999527271575,0.8917274091534025,-0.4525728977353373
2779.0,475.640494743256,-300.2296033792907,7.820539766664251e-05,4.242667787618141,5.999999991615315,5.99999999161539,0.8916945215136381,-0.45263769209221183
2780.0,475.18780991100544,-301.12127397017633,6.847628699719486e-05,4.242620817567154,5.999999999895704,5.999999999895704,0.8916732601145481,-0.452679574530035
2781.0,474.7351250787615,-302.0129445610652,5.879165104079144e-05,4.242613573101971,5.999999999994611,5.99999999999456,0.8916699806697324,-0.4526860342140446
2782.0,474.2824402465157,-302.90461515195335,4.929392157291312e-05,4.242615281961703,5.999999999999648,5.9999999999996225,0.8916707542453655,-0.45268451047445957
2783.0,473.82975541427066,-303.79628574284123,4.0134388114646086e-05,4.2426148244947,5.999999999999902,6.00000000000008,0.8916705471570462,-0.45268491838435915
2784.0,473.37707058202506,-304.68795633372963,3.147464077176949e-05,4.242614946959889,6.000000000000031,5.999999999999955,0.8916706025951834,-0.45268480918575416
2785.0,472.9243857497795,-305.57962692461814,2.3481189153387534e-05,4.24261491417565,6.00000000000011,5.999999999999957,0.8916705877542564,-0.45268483841849516
